"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rondônia";"2009";"Batata-inglesa";"-";"-"
"Rondônia";"2009";"Borracha (látex coagulado)";"180";"226"
"Rondônia";"2009";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2009";"Cacau (em amêndoa)";"17485";"74784"
"Rondônia";"2009";"Café (em grão) Total";"92019";"253358"
"Rondônia";"2009";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2009";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2009";"Caju";"...";"..."
"Rondônia";"2009";"Cana-de-açúcar";"253277";"11073"
"Rondônia";"2009";"Cana para forragem";"...";"..."
"Rondônia";"2009";"Caqui";"-";"-"
"Rondônia";"2009";"Castanha de caju";"-";"-"
"Rondônia";"2009";"Cebola";"-";"-"
"Rondônia";"2009";"Centeio (em grão)";"-";"-"
"Rondônia";"2009";"Cevada (em grão)";"-";"-"
"Rondônia";"2009";"Chá-da-índia (folha verde)";"-";"-"
"Rondônia";"2009";"Coco-da-baía*";"3479";"1599"
"Rondônia";"2009";"Dendê (cacho de coco)";"-";"-"
"Rondônia";"2009";"Erva-mate (folha verde)";"-";"-"
"Rondônia";"2009";"Ervilha (em grão)";"-";"-"
"Rondônia";"2009";"Fava (em grão)";"-";"-"
"Rondônia";"2009";"Feijão (em grão)";"46580";"64510"
"Rondônia";"2009";"Figo";"-";"-"
"Rondônia";"2009";"Fumo (em folha)";"-";"-"
"Rondônia";"2009";"Girassol (em grão)";"-";"-"
"Rondônia";"2009";"Goiaba";"514";"145"
"Rondônia";"2009";"Guaraná (semente)";"32";"115"
"Rondônia";"2009";"Juta (fibra)";"-";"-"
"Rondônia";"2009";"Laranja";"10589";"3142"
"Rondônia";"2009";"Limão";"1299";"394"
"Rondônia";"2009";"Linho (semente)";"-";"-"
"Rondônia";"2009";"Maçã";"-";"-"
"Rondônia";"2009";"Malva (fibra)";"-";"-"
"Rondônia";"2009";"Mamão";"6316";"2274"
"Rondônia";"2009";"Mamona (baga)";"-";"-"
"Rondônia";"2009";"Mandioca";"499942";"234627"
"Rondônia";"2009";"Manga";"1396";"951"
"Rondônia";"2009";"Maracujá";"5189";"2489"
"Rondônia";"2009";"Marmelo";"-";"-"
"Rondônia";"2009";"Melancia";"13932";"3426"
"Rondônia";"2009";"Melão";"-";"-"
"Rondônia";"2009";"Milho (em grão)";"368819";"117729"
"Rondônia";"2009";"Noz (fruto seco)";"-";"-"
"Rondônia";"2009";"Palmito";"1288";"1353"
"Rondônia";"2009";"Pera";"-";"-"
